Tarih,Oda Numarası,Oda Tipi,Personel ID,Temizlik Türü,Giriş Saati,Çıkış Saati
2024-01-01,144,Standart,P004,Rutin,10:22,10:42
2024-01-01,144,Standart,M001,Mini Bar,10:15,10:19
2024-01-01,151,Standart,P003,Rutin,10:15,10:23
2024-01-01,151,Standart,M001,Mini Bar,10:56,11:01
2024-01-01,135,Standart,P003,Rutin,10:28,10:38
2024-01-01,135,Standart,M001,Mini Bar,11:06,11:11
2024-01-01,251,Standart,P008,Rutin,10:56,11:06
2024-01-01,251,Standart,M004,Mini Bar,10:16,10:22
2024-01-01,207,Standart,P010,Rutin,10:03,10:13
2024-01-01,207,Standart,M004,Mini Bar,10:27,10:33
2024-01-01,234,Standart,P007,Rutin,10:22,10:39
2024-01-01,234,Standart,M004,Mini Bar,10:33,10:39
2024-01-01,352,Standart,P013,Rutin,08:33,08:46
2024-01-01,352,Standart,M006,Mini Bar,10:52,10:58
2024-01-01,361,Standart,P014,Rutin,10:19,10:24
2024-01-01,361,Standart,M006,Mini Bar,11:03,11:06
2024-01-01,304,Standart,P013,Rutin,09:29,09:42
2024-01-01,304,Standart,M005,Mini Bar,09:16,09:22
2024-01-01,455,Standart,P018,Rutin,08:58,09:04
2024-01-01,455,Standart,M007,Mini Bar,09:37,09:40
2024-01-01,413,Standart,P020,Rutin,09:21,09:37
2024-01-01,413,Standart,M007,Mini Bar,09:45,09:50
2024-01-01,441,Standart,P017,Rutin,10:35,10:52
2024-01-01,441,Standart,M008,Mini Bar,09:16,09:19
2024-01-01,522,Standart,P024,Rutin,08:26,08:36
2024-01-01,522,Standart,M010,Mini Bar,10:36,10:42
2024-01-01,525,Standart,P021,Rutin,08:42,08:50
2024-01-01,525,Standart,M010,Mini Bar,10:47,10:51
2024-01-01,547,Standart,P022,Rutin,10:24,10:30
2024-01-01,547,Standart,M009,Mini Bar,09:11,09:15
2024-01-01,622,Standart,P027,Rutin,10:54,11:03
2024-01-01,622,Standart,M012,Mini Bar,11:37,11:40
2024-01-01,654,Standart,P026,Rutin,10:05,10:14
2024-01-01,654,Standart,M011,Mini Bar,10:31,10:37
2024-01-01,607,Standart,P030,Rutin,09:34,09:40
2024-01-01,607,Standart,M012,Mini Bar,11:45,11:49
2024-01-01,767,Standart,P033,Rutin,08:43,08:56
2024-01-01,767,Standart,M013,Mini Bar,11:24,11:30
2024-01-01,711,Standart,P032,Rutin,10:18,10:24
2024-01-01,711,Standart,M014,Mini Bar,09:18,09:21
2024-01-01,705,Standart,P033,Rutin,09:01,09:14
2024-01-01,705,Standart,M014,Mini Bar,10:05,10:08
2024-01-01,802,Standart,P038,Rutin,08:25,08:42
2024-01-01,802,Standart,M016,Mini Bar,10:05,10:08
2024-01-01,849,Standart,P039,Rutin,08:53,09:09
2024-01-01,849,Standart,M016,Mini Bar,10:50,10:55
2024-01-01,839,Standart,P039,Rutin,09:22,09:31
2024-01-01,839,Standart,M016,Mini Bar,11:00,11:03
2024-01-01,928,Standart,P045,Rutin,09:49,10:02
2024-01-01,928,Standart,M017,Mini Bar,09:42,09:47
2024-01-01,954,Standart,P045,Rutin,10:07,10:12
2024-01-01,954,Standart,M018,Mini Bar,09:43,09:49
2024-01-01,912,Standart,P041,Rutin,10:16,10:22
2024-01-01,912,Standart,M017,Mini Bar,11:10,11:13
2024-01-01,1062,Standart,P047,Rutin,09:13,09:16
2024-01-01,1062,Standart,M019,Mini Bar,09:11,09:14
2024-01-01,1041,Standart,P049,Rutin,09:54,10:00
2024-01-01,1041,Standart,M020,Mini Bar,09:56,10:01
2024-01-01,1031,Standart,P049,Rutin,10:14,10:23
2024-01-01,1031,Standart,M020,Mini Bar,11:41,11:46
2024-01-01,1130,Suit,P052,Rutin,08:18,08:36
2024-01-01,1130,Suit,M021,Mini Bar,09:58,10:02
2024-01-01,1117,Suit,P053,Rutin,10:51,11:05
2024-01-01,1117,Suit,M021,Mini Bar,11:19,11:24
2024-01-01,1223,Suit,P058,Rutin,10:07,10:22
2024-01-01,1223,Suit,M024,Mini Bar,09:41,09:47
2024-01-01,1208,Suit,P057,Rutin,09:15,09:25
2024-01-01,1208,Suit,M024,Mini Bar,11:39,11:45
2024-01-01,1342,Suit,P063,Rutin,08:33,08:47
2024-01-01,1342,Suit,M025,Mini Bar,09:50,09:54
2024-01-01,1329,Suit,P061,Rutin,10:15,10:27
2024-01-01,1329,Suit,M026,Mini Bar,11:39,11:43
2024-01-01,1401,Suit,P067,Rutin,10:32,10:47
2024-01-01,1401,Suit,M027,Mini Bar,10:41,10:45
2024-01-01,1429,Suit,P068,Rutin,08:51,09:04
2024-01-01,1429,Suit,M027,Mini Bar,10:50,10:53
2024-01-01,1521,Lüx Suit,P072,Rutin,08:46,09:04
2024-01-01,1521,Lüx Suit,M029,Mini Bar,11:41,11:46
2024-01-01,1603,Lüx Suit,P080,Rutin,09:03,09:22
